Is_Head_of_Household_,Age,Race,Gender,Ethnicity,Disability,Educational_Level,Employment_Status,Household_Type,ZIP_Code,Service_Id,Date,Program,Housing_Type,City,State,Total_Benefit,Council_District,Monthly_Income,ObjectId
1,50,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,"Unemployed(Short - Term, 6 months or less)",Single Person,40220,1371195,2021/11/02 10:55:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,220.9,26,19200,5157
1,30,Mixed Race,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Person,40258,1454477,2021/12/13 16:07:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,291.45,14,15912,5158
0,9,Mixed Race,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40258,1454477,2021/12/13 16:07:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,291.45,14,15912,5159
0,11,Mixed Race,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40258,1454477,2021/12/13 16:07:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,291.45,14,15912,5160
0,13,Mixed Race,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40258,1454477,2021/12/13 16:07:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,291.45,14,15912,5161
0,3,Mixed Race,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Person,40258,1454477,2021/12/13 16:07:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,291.45,14,15912,5162
0,23,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Other,40241,1414402,2021/11/22 10:50:00+00,ARP-Utilities 21,Rent/Non-Subsidized,Louisville,KY,1000,17,7200,5163
1,37,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Parent Female,40219,1217182,2021/07/26 14:52:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,369.88,24,12672,5164
1,31,African American,Female,Non-Hispanic,Not Disabled,Technical/Trade School,Employed Full-Time,Single Person,40212,1312938,2021/09/27 09:47:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,319.21,5,24000,5165
1,29,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40215,1216239,2021/07/26 12:44:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,15,25531.92,5166
0,8,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40215,1216239,2021/07/26 12:44:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,15,25531.92,5167
1,43,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Single Person,40212,1418611,2021/11/23 13:40:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,568.6,5,0,5168
1,31,Unknown,Female,Unknown,Unknown,Unknown,Unknown,Single Person,40217,1464502,2021/12/24 12:06:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,15,3600,5169
1,43,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40211,1496418,2022/01/18 11:17:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,425.35,1,0,5170
0,69,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40228,1269343,2021/08/23 13:02:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,190.75,2,20698.92,5171
1,27,African American,Male,Non-Hispanic,Not Disabled,Equivalency Diploma (GED),"Unemployed(Long - Term, more than 6 months)",Single Parent Male,40258,1288803,2021/09/07 12:19:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,15000,5172
0,7,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Male,40258,1288803,2021/09/07 12:19:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,15000,5173
0,18,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40216,1454324,2021/12/13 15:15:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,974.1,12,24000,5174
0,2,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40216,1454324,2021/12/13 15:15:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,974.1,12,24000,5175
0,18,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40211,1276870,2021/08/27 08:54:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,1,16200,5176
1,30,Mixed Race,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40203,1275273,2021/08/26 10:57:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,355.58,6,22416,5177
1,30,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40204,1221679,2021/07/28 09:56:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,148.7,4,7200,5178
0,4,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40204,1221679,2021/07/28 09:56:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,148.7,4,7200,5179
1,31,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Parent Female,40272,1449289,2021/12/10 09:42:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,707.2,14,8256,5180
0,63,African American,Male,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Two Parent Household,40211,1306465,2021/09/21 11:54:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,33684,5181
1,27,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40218,1444892,2021/12/08 15:53:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,267.67,2,0,5182
1,40,White,Female,Non-Hispanic,Not Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Multigenerational Household,40212,1380224,2021/11/05 09:13:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,630.14,5,9528,5183
0,6,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40218,1444892,2021/12/08 15:53:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,267.67,2,0,5184
0,3,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40218,1444892,2021/12/08 15:53:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,267.67,2,0,5185
0,21,White,Female,Non-Hispanic,Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Multigenerational Household,40212,1380224,2021/11/05 09:13:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,630.14,5,9528,5186
0,19,Mixed Race,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Multigenerational Household,40212,1380224,2021/11/05 09:13:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,630.14,5,9528,5187
1,47,Others,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Unemployed(Not in Labor Force),Single Person,40245,1244859,2021/08/09 13:26:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,567.38,19,27312,5188
1,,Unknown,Male,Unknown,Unknown,Unknown,"Unemployed(Short - Term, 6 months or less)",Single Person,40299,1284198,2021/09/01 15:52:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,243.37,11,0,5189
1,27,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,"Unemployed(Short - Term, 6 months or less)",Single Person,40211,1329111,2021/10/08 13:27:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,0,5190
0,3,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40208,1243086,2021/08/06 16:10:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,802.31,0,28716,5191
1,39,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Parent Male,40214,1292399,2021/09/09 11:04:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,754.64,21,0,5192
1,37,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Short - Term, 6 months or less)",Single Person,40212,1347861,2021/10/20 12:19:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,576.61,5,6000,5193
0,2,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40212,1347861,2021/10/20 12:19:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,576.61,5,6000,5194
1,46,African American,Female,Non-Hispanic,Not Disabled,Advanced/Post-Secondary Degree,Employed Full-Time,Single Parent Female,40272,1266315,2021/08/20 10:07:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,885.08,25,32400,5195
0,7,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40272,1266315,2021/08/20 10:07:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,885.08,25,32400,5196
0,8,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40272,1266315,2021/08/20 10:07:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,885.08,25,32400,5197
0,18,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40272,1266315,2021/08/20 10:07:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,885.08,25,32400,5198
0,21,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40272,1266315,2021/08/20 10:07:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,885.08,25,32400,5199
1,23,African American,Female,Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Person,40229,1367310,2021/11/01 09:42:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,161.46,13,17713.92,5200
1,41,White,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Person,40216,1233694,2021/08/03 11:46:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,0,5201
0,13,White,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40216,1233694,2021/08/03 11:46:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,0,5202
0,14,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40216,1233694,2021/08/03 11:46:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,0,5203
1,45,Unknown,Male,Unknown,Not Disabled,Grades 9-12,"Unemployed(Short - Term, 6 months or less)",Two Parent Household,40118,1361927,2021/10/28 09:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,603.93,13,0,5204
0,42,Unknown,Female,Unknown,Not Disabled,Unknown,"Unemployed(Short - Term, 6 months or less)",Two Parent Household,40118,1361927,2021/10/28 09:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,603.93,13,0,5205
0,17,Unknown,Male,Unknown,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40118,1361927,2021/10/28 09:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,603.93,13,0,5206
0,10,Unknown,Male,Unknown,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Two Parent Household,40118,1361927,2021/10/28 09:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,603.93,13,0,5207
1,35,African American,Female,Non-Hispanic,Not Disabled,Advanced/Post-Secondary Degree,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40212,1241622,2021/08/06 10:54:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,0,5208
0,18,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40212,1241622,2021/08/06 10:54:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,0,5209
0,14,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40212,1241622,2021/08/06 10:54:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,0,5210
0,7,Others,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40218,1309473,2021/09/23 09:37:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,238.41,10,0,5211
0,3,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40212,1241622,2021/08/06 10:54:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,0,5212
0,3,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40212,1241622,2021/08/06 10:54:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,0,5213
0,6,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40211,1299971,2021/09/15 13:08:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,0,5214
0,5,Others,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40218,1309473,2021/09/23 09:37:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,238.41,10,0,5215
1,31,Mixed Race,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Single Person,40206,1440534,2021/12/07 13:08:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,484.74,4,26400,5216
1,56,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40216,1675244,2022/04/18 10:02:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,604.82,3,0,5217
0,22,African American,Male,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Part-Time,Single Parent Female,40215,1233920,2021/08/03 12:35:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,538.91,3,34800,5218
1,38,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Part-Time,Single Person,40228,1425631,2021/12/14 15:40:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,162.97,2,10522.2,5219
1,39,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Person,40291,1261864,2021/08/18 11:05:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,712.74,20,0,5220
0,39,African American,Male,Unknown,Not Disabled,High School Graduate,Employed Full-Time,Single Parent Female,40218,1415224,2021/11/22 12:44:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,26,20400,5221
1,43,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40210,1237248,2021/08/04 13:58:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,466.47,6,0,5222
0,20,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40218,1233387,2021/08/03 11:04:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,627.62,10,24000,5223
1,45,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Person,40218,1464578,2021/12/27 09:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,460.93,10,41364,5224
1,48,African American,Female,Non-Hispanic,Not Disabled,Equivalency Diploma (GED),"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40211,1456729,2021/12/15 12:25:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,0,5225
1,32,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Person,40258,1283460,2021/09/01 12:33:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,130.37,12,8628,5226
0,16,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40218,1415224,2021/11/22 12:44:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,26,20400,5227
1,23,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,"Unemployed(Short - Term, 6 months or less)",Single Person,40211,1502189,2022/01/19 13:43:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,659.22,1,0,5228
0,6,African American,Male,Non-Hispanic,Not Disabled,Early Head Start,Unemployed(Not in Labor Force),Single Parent Female,40218,1233387,2021/08/03 11:04:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,627.62,10,24000,5229
0,16,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40215,1460241,2021/12/17 15:47:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,15,0,5230
1,31,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Multigenerational Household,40215,1254417,2021/08/13 10:57:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,301.93,21,22440,5231
0,12,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Multigenerational Household,40215,1254417,2021/08/13 10:57:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,301.93,21,22440,5232
0,7,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Multigenerational Household,40215,1254417,2021/08/13 10:57:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,301.93,21,22440,5233
1,24,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Person,40211,1310695,2021/09/23 14:52:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,761.58,0,0,5234
1,47,White,Female,Unknown,Not Disabled,Advanced/Post-Secondary Degree,Employed Full-Time,Single Parent Female,40207,1467060,2021/12/30 10:11:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,401.72,9,36896.88,5235
1,55,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40219,1465697,2021/12/28 10:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,21,0,5236
0,13,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40219,1465697,2021/12/28 10:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,21,0,5237
1,43,Unknown,Female,Unknown,Not Disabled,2 or 4 years College,Employed Full-Time,Two Parent Household,40222,1271607,2021/08/24 12:50:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,18,118426.8,5238
0,42,Unknown,Male,Unknown,Not Disabled,Unknown,Employed Full-Time,Two Parent Household,40222,1271607,2021/08/24 12:50:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,18,118426.8,5239
1,34,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,"Unemployed(Long - Term, more than 6 months)",Single Person,40214,1245191,2021/08/09 14:21:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,374.61,19,0,5240
0,13,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40214,1245191,2021/08/09 14:21:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,374.61,19,0,5241
0,10,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40214,1245191,2021/08/09 14:21:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,374.61,19,0,5242
1,32,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40203,1330899,2021/10/14 11:48:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,331.82,5,0,5243
0,14,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40203,1330899,2021/10/14 11:48:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,331.82,5,0,5244
1,47,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Part-Time,Single Person,40258,1241143,2021/08/06 09:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,319.26,14,36805.56,5245
1,34,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Two Parent Household,40219,1248646,2021/08/11 08:50:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,416.33,21,30000,5246
1,43,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Parent Female,40202,1209076,2021/07/22 11:01:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,537.21,4,48000,5247
0,15,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40202,1209076,2021/07/22 11:01:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,537.21,4,48000,5248
1,40,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Short - Term, 6 months or less)",Single Parent Male,40216,1211473,2021/07/23 09:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,625.09,3,32784,5249
0,2,Others,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40218,1309473,2021/09/23 09:37:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,238.41,10,0,5250
0,15,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Male,40216,1211473,2021/07/23 09:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,625.09,3,32784,5251
0,9,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Male,40216,1211473,2021/07/23 09:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,625.09,3,32784,5252
1,25,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Two Adults No Children,40216,1297051,2021/09/13 15:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,396.88,1,12000,5253
1,42,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Parent Female,40220,1317113,2021/09/29 13:53:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,244.35,26,24000,5254
0,8,White,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40220,1317113,2021/09/29 13:53:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,244.35,26,24000,5255
1,61,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Person,40208,1410905,2021/11/19 09:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,330.01,6,0,5256
1,44,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Person,40216,1422963,2021/11/29 10:25:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,15600,5257
0,19,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40216,1422963,2021/11/29 10:25:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,15600,5258
0,21,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40216,1422963,2021/11/29 10:25:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,15600,5259
1,25,African American,Male,Non-Hispanic,Not Disabled,Equivalency Diploma (GED),Employed Full-Time,Single Person,40213,1412938,2021/11/19 15:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,21,0,5260
1,70,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Person,40212,1278696,2021/08/30 09:00:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,169.84,5,11856,5261
1,35,White,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Person,40211,1370358,2021/11/02 09:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,476.04,5,0,5262
1,36,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Single Parent Female,40216,1304901,2021/09/20 12:13:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,533.56,1,46776,5263
0,16,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40216,1304901,2021/09/20 12:13:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,533.56,1,46776,5264
0,8,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40216,1304901,2021/09/20 12:13:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,533.56,1,46776,5265
0,7,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40216,1304901,2021/09/20 12:13:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,533.56,1,46776,5266
